# 2025-10-21 13:50:18
dog-01: x=5.00, y=6.00, θ=192.0 degrees
dog-02: x=7.00, y=6.00, θ=326.0 degrees
dog-03: x=7.00, y=5.00, θ=242.0 degrees
dog-04: x=5.00, y=6.00, θ=78.0 degrees
dog-05: x=6.00, y=6.00, θ=319.0 degrees
dog-06: x=6.00, y=5.00, θ=112.0 degrees
dog-07: x=5.00, y=6.00, θ=99.0 degrees
dog-08: x=7.00, y=6.00, θ=224.0 degrees
dog-09: x=5.00, y=5.00, θ=357.0 degrees
dog-10: x=6.00, y=5.00, θ=34.0 degrees
dog-11: x=7.00, y=6.00, θ=20.0 degrees
dog-12: x=7.00, y=6.00, θ=221.0 degrees
dog-13: x=5.00, y=5.00, θ=219.0 degrees
dog-14: x=6.00, y=5.00, θ=250.0 degrees
dog-15: x=6.00, y=6.00, θ=250.0 degrees
dog-16: x=5.00, y=6.00, θ=150.0 degrees
dog-17: x=6.00, y=6.00, θ=313.0 degrees
dog-18: x=6.00, y=6.00, θ=247.0 degrees
dog-19: x=5.00, y=6.00, θ=3.0 degrees
dog-20: x=5.00, y=6.00, θ=282.0 degrees
# 2025-10-21 13:50:20
dog-01: x=5.70, y=6.40, θ=207.0 degrees
dog-02: x=7.70, y=6.40, θ=341.0 degrees
dog-03: x=7.70, y=5.40, θ=257.0 degrees
dog-04: x=5.70, y=6.40, θ=93.0 degrees
dog-05: x=6.70, y=6.40, θ=334.0 degrees
dog-06: x=6.70, y=5.40, θ=127.0 degrees
dog-07: x=5.70, y=6.40, θ=114.0 degrees
dog-08: x=7.70, y=6.40, θ=239.0 degrees
dog-09: x=5.70, y=5.40, θ=12.0 degrees
dog-10: x=6.70, y=5.40, θ=49.0 degrees
dog-11: x=7.70, y=6.40, θ=35.0 degrees
dog-12: x=7.70, y=6.40, θ=236.0 degrees
dog-13: x=5.70, y=5.40, θ=234.0 degrees
dog-14: x=6.70, y=5.40, θ=265.0 degrees
dog-15: x=6.70, y=6.40, θ=265.0 degrees
dog-16: x=5.70, y=6.40, θ=165.0 degrees
dog-17: x=6.70, y=6.40, θ=328.0 degrees
dog-18: x=6.70, y=6.40, θ=262.0 degrees
dog-19: x=5.70, y=6.40, θ=18.0 degrees
dog-20: x=5.70, y=6.40, θ=297.0 degrees
# 2025-10-21 13:50:22
dog-01: x=6.40, y=6.80, θ=222.0 degrees
dog-02: x=8.40, y=6.80, θ=356.0 degrees
dog-03: x=8.40, y=5.80, θ=272.0 degrees
dog-04: x=6.40, y=6.80, θ=108.0 degrees
dog-05: x=7.40, y=6.80, θ=349.0 degrees
dog-06: x=7.40, y=5.80, θ=142.0 degrees
dog-07: x=6.40, y=6.80, θ=129.0 degrees
dog-08: x=8.40, y=6.80, θ=254.0 degrees
dog-09: x=6.40, y=5.80, θ=27.0 degrees
dog-10: x=7.40, y=5.80, θ=64.0 degrees
dog-11: x=8.40, y=6.80, θ=50.0 degrees
dog-12: x=8.40, y=6.80, θ=251.0 degrees
dog-13: x=6.40, y=5.80, θ=249.0 degrees
dog-14: x=7.40, y=5.80, θ=280.0 degrees
dog-15: x=7.40, y=6.80, θ=280.0 degrees
dog-16: x=6.40, y=6.80, θ=180.0 degrees
dog-17: x=7.40, y=6.80, θ=343.0 degrees
dog-18: x=7.40, y=6.80, θ=277.0 degrees
dog-19: x=6.40, y=6.80, θ=33.0 degrees
dog-20: x=6.40, y=6.80, θ=312.0 degrees
# 2025-10-21 13:50:24
dog-01: x=7.10, y=6.90, θ=237.0 degrees
dog-02: x=9.10, y=6.90, θ=11.0 degrees
dog-03: x=9.10, y=5.90, θ=287.0 degrees
dog-04: x=7.10, y=6.90, θ=123.0 degrees
dog-05: x=8.10, y=6.90, θ=4.0 degrees
dog-06: x=8.10, y=5.90, θ=157.0 degrees
dog-07: x=7.10, y=6.90, θ=144.0 degrees
dog-08: x=9.10, y=6.90, θ=269.0 degrees
dog-09: x=7.10, y=5.90, θ=42.0 degrees
dog-10: x=8.10, y=5.90, θ=79.0 degrees
dog-11: x=9.10, y=6.90, θ=65.0 degrees
dog-12: x=9.10, y=6.90, θ=266.0 degrees
dog-13: x=7.10, y=5.90, θ=264.0 degrees
dog-14: x=8.10, y=5.90, θ=295.0 degrees
dog-15: x=8.10, y=6.90, θ=295.0 degrees
dog-16: x=7.10, y=6.90, θ=195.0 degrees
dog-17: x=8.10, y=6.90, θ=358.0 degrees
dog-18: x=8.10, y=6.90, θ=292.0 degrees
dog-19: x=7.10, y=6.90, θ=48.0 degrees
